id,label
small,small
back,back
peopl,peopl
holiday,holiday
nightmar,nightmar
need,need
warn,warn
process,process
much,much
teeth,teeth
mold,mold
ammonia,ammonia
like,like
cupboard,cupboard
wont,wont
doubl,doubl
worst,worst
adject,adject
book,book
there,there
foothold,foothold
money,money
book,book
small,small
planet,planet
have,have
switch,switch
regenc,regenc
regenc,regenc
like,like
look,look
like,like
tower,tower
caution,caution
stay,stay
auberg,auberg
great,great
find,find
servic,servic
have,have
star,star
like,like
love,love
experi,experi
three,three
like,like
best,best
have,have
problem,problem
great,great
mileston,mileston
well,well
mileston,mileston
oasi,oasi
heart,heart
servic,servic
great,great
breakfast,breakfast
lot,lot
well,well
first,first
venu,venu
worst,worst
dirt,dirt
stay,stay
cockroach,cockroach
worth,worth
clean,clean
right,right
valu,valu
three,three
boutiqu,boutiqu
custom,custom
expo,expo
love,love
poor,poor
montreal,montreal
albert,albert
entir,entir
best,best
littl,littl
good,good
well,well
attent,attent
sheet,sheet
york,york
citi,citi
side,side
york,york
central,central
well,well
super,super
cozi,cozi
bed,bed
great,great
servic,servic
mark,mark
lower,lower
price,price
look,look
nice,nice
best,best
great,great
locat,locat
have,have
have,have
flea,flea
hole,hole
stay,stay
place,place
hotel,hotel
stay,stay
here,here
day,day
stay,stay
stay,stay
highway,highway
heritag,heritag
heritag,heritag
marina,marina
central,central
like,like
bite,bite
blood,blood
packer,packer
worst,worst
ghetto,ghetto
be,be
calm,calm
eleg,eleg
tourist,tourist
nice,nice
antidot,antidot
delhi,delhi
money,money
credit,credit
card,card
reserv,reserv
attempt,attempt
citi,citi
stay,stay
servic,servic
beij,beij
place,place
veneer,veneer
attent,attent
given,given
compani,compani
place,place
hous,hous
room,room
worst,worst
life,life
dream,dream
break,break
price,price
money,money
person,person
experi,experi
qualiti,qualiti
perfect,perfect
cot,cot
servic,servic
dubai,dubai
holiday,holiday
absolut,absolut
still,still
earth,earth
still,still
expect,expect
royalti,royalti
royalti,royalti
resort,resort
claim,claim
size,size
resort,resort
keep,keep
luxuri,luxuri
royal,royal
have,have
royal,royal
break,break
treat,treat
longer,longer
hotel,hotel
staff,staff
have,have
dream,dream
holiday,holiday
nightmar,nightmar
will,will
much,much
feel,feel
better,better
trip,trip
advisor,advisor
,
beach,beach
food,food
drink,drink
price,price
facil,facil
same,same
upgrad,upgrad
back,back
over,over
staff,staff
work,work
best,best
drink,drink
enough,enough
good,good
paradis,paradis
reserv,reserv
part,part
go,go
atmospher,atmospher
worth,worth
royal,royal
club,club
break,break
dubai,dubai
vacat,vacat
qualiti,qualiti
luxuri,luxuri
dubai,dubai
stay,stay
dubai,dubai
have,have
need,need
review,review
review,review
recept,recept
famili,famili
place,place
honeymoon,honeymoon
be,be
servic,servic
like,like
spanish,spanish
stay,stay
singl,singl
place,place
arabian,arabian
worth,worth
be,be
construct,construct
metro,metro
busi,busi
dubai,dubai
dubai,dubai
review,review
option,option
strip,strip
review,review
great,great
sleep,sleep
upstair,upstair
great,great
airport,airport
here,here
price,price
enough,enough
better,better
less,less
faint,faint
internet,internet
connect,connect
then,then
stay,stay
strip,strip
then,then
reserv,reserv
facil,facil
strip,strip
money,money
stay,stay
budget,budget
over,over
valu,valu
here,here
price,price
town,town
have,have
life,life
here,here
best,best
apart,apart
london,london
qualiti,qualiti
apart,apart
famili,famili
room,room
flea,flea
credit,credit
card,card
left,left
london,london
more,more
here,here
here,here
internet,internet
charg,charg
better,better
better,better
qualiti,qualiti
locat,locat
well,well
more,more
construct,construct
trip,trip
dump,dump
here,here
even,even
like,like
salami,salami
risk,risk
good,good
center,center
london,london
centr,centr
need,need
much,much
style,style
qualiti,qualiti
intim,intim
secret,secret
stay,stay
here,here
servic,servic
down,down
trade,trade
descript,descript
accommod,accommod
here,here
toilet,toilet
unknown,unknown
stain,stain
then,then
star,star
rama,rama
insect,insect
london,london
small,small
littl,littl
home,home
work,work
nightmar,nightmar
stay,stay
down,down
rodent,rodent
much,much
refurbish,refurbish
problem,problem
ammonia,ammonia
stay,stay
plagu,plagu
london,london
here,here
bunk,bunk
adject,adject
place,place
here,here
straight,straight
london,london
here,here
absolut,absolut
toilet,toilet
have,have
better,better
room,room
court,court
court,court
shot,shot
place,place
plagu,plagu
better,better
restaur,restaur
here,here
basil,basil
find,find
harrod,harrod
wont,wont
star,star
hotel,hotel
royalti,royalti
experi,experi
three,three
generat,generat
royalti,royalti
have,have
mile,mile
great,great
stay,stay
well,well
secret,secret
expect,expect
right,right
soho,soho
prime,prime
breakfast,breakfast
poor,poor
posit,posit
first,first
place,place
small,small
experi,experi
cockroach,cockroach
there,there
worth,worth
star,star
well,well
back,back
great,great
time,time
heart,heart
servic,servic
love,love
hand,hand
mark,mark
citi,citi
reason,reason
montreal,montreal
valu,valu
place,place
locat,locat
boutiqu,boutiqu
detail,detail
water,water
citi,citi
side,side
citi,citi
citi,citi
park,park
super,super
locat,locat
bed,bed
great,great
locat,locat
mark,mark
room,room
price,price
look,look
here,here
earplug,earplug
stay,stay
locat,locat
servic,servic
friend,friend
wors,wors
hole,hole
stay,stay
here,here
have,have
have,have
here,here
day,day
left,left
here,here
here,here
robberi,robberi
marina,marina
marina,marina
bug,bug
like,like
horror,horror
blood,blood
sheet,sheet
flea,flea
have,have
be,be
love,love
eleg,eleg
shanghai,shanghai
trap,trap
apart,apart
